threshold, tp, fp, fn, numKnownPeers
1, 0, 1, 10, 12326, %!d(MISSING)
2, 0, 2, 10, 12326, %!d(MISSING)
3, 0, 3, 10, 12326, %!d(MISSING)
4, 1, 3, 9, 12326, %!d(MISSING)
5, 2, 3, 8, 12326, %!d(MISSING)
6, 3, 3, 7, 12326, %!d(MISSING)
7, 4, 3, 6, 12326, %!d(MISSING)
8, 5, 3, 5, 12326, %!d(MISSING)
9, 6, 3, 4, 12326, %!d(MISSING)
10, 7, 3, 3, 12326, %!d(MISSING)
15, 8, 7, 2, 12326, %!d(MISSING)
20, 8, 12, 2, 12326, %!d(MISSING)
25, 8, 17, 2, 12326, %!d(MISSING)
30, 8, 22, 2, 12326, %!d(MISSING)
35, 8, 27, 2, 12326, %!d(MISSING)
40, 8, 32, 2, 12326, %!d(MISSING)
45, 8, 37, 2, 12326, %!d(MISSING)
50, 8, 42, 2, 12326, %!d(MISSING)
55, 8, 47, 2, 12326, %!d(MISSING)
60, 8, 52, 2, 12326, %!d(MISSING)
65, 8, 57, 2, 12326, %!d(MISSING)
70, 8, 62, 2, 12326, %!d(MISSING)
75, 8, 67, 2, 12326, %!d(MISSING)
80, 8, 72, 2, 12326, %!d(MISSING)
85, 8, 77, 2, 12326, %!d(MISSING)
90, 8, 82, 2, 12326, %!d(MISSING)
95, 8, 87, 2, 12326, %!d(MISSING)
