threshold, tp, fp, fn, numKnownPeers
10, 2, 3, 8, 12326, %!d(MISSING)
20, 8, 3, 2, 12326, %!d(MISSING)
30, 8, 13, 2, 12326, %!d(MISSING)
40, 8, 17, 2, 12326, %!d(MISSING)
50, 8, 17, 2, 12326, %!d(MISSING)
60, 8, 17, 2, 12326, %!d(MISSING)
70, 8, 17, 2, 12326, %!d(MISSING)
80, 8, 17, 2, 12326, %!d(MISSING)
90, 8, 18, 2, 12326, %!d(MISSING)
100, 8, 18, 2, 12326, %!d(MISSING)
110, 8, 18, 2, 12326, %!d(MISSING)
120, 8, 20, 2, 12326, %!d(MISSING)
130, 8, 47, 2, 12326, %!d(MISSING)
140, 8, 69, 2, 12326, %!d(MISSING)
150, 8, 97, 2, 12326, %!d(MISSING)
160, 8, 130, 2, 12326, %!d(MISSING)
170, 8, 168, 2, 12326, %!d(MISSING)
180, 8, 206, 2, 12326, %!d(MISSING)
190, 8, 246, 2, 12326, %!d(MISSING)
200, 8, 273, 2, 12326, %!d(MISSING)
240, 8, 411, 2, 12326, %!d(MISSING)
280, 8, 981, 2, 12326, %!d(MISSING)
320, 8, 1815, 2, 12326, %!d(MISSING)
360, 8, 2588, 2, 12326, %!d(MISSING)
400, 8, 3454, 2, 12326, %!d(MISSING)
440, 8, 4072, 2, 12326, %!d(MISSING)
480, 8, 4625, 2, 12326, %!d(MISSING)
