threshold, tp, fp, fn, numKnownAddresses
1, 1, 0, 41, 13247
2, 2, 0, 40, 13247
3, 2, 1, 40, 13247
4, 2, 2, 40, 13247
5, 3, 2, 39, 13247
6, 3, 3, 39, 13247
7, 3, 3, 39, 13247
8, 3, 3, 39, 13247
9, 3, 3, 39, 13247
10, 3, 3, 39, 13247
15, 6, 3, 36, 13247
20, 8, 4, 34, 13247
25, 8, 4, 34, 13247
30, 8, 4, 34, 13247
35, 8, 4, 34, 13247
40, 10, 4, 32, 13247
45, 10, 9, 32, 13247
50, 10, 14, 32, 13247
55, 10, 19, 32, 13247
60, 10, 24, 32, 13247
65, 10, 29, 32, 13247
70, 10, 34, 32, 13247
75, 10, 39, 32, 13247
80, 10, 44, 32, 13247
85, 10, 49, 32, 13247
90, 10, 54, 32, 13247
95, 10, 59, 32, 13247
