threshold, tp, fp, fn, numKnownAddresses
10, 3, 1, 38, 13296
20, 8, 2, 33, 13296
30, 8, 2, 33, 13296
40, 9, 2, 32, 13296
50, 9, 3, 32, 13296
60, 10, 3, 31, 13296
70, 10, 4, 31, 13296
80, 10, 4, 31, 13296
90, 10, 4, 31, 13296
100, 10, 4, 31, 13296
110, 10, 4, 31, 13296
120, 11, 7, 30, 13296
130, 11, 99, 30, 13296
140, 11, 206, 30, 13296
150, 12, 286, 29, 13296
160, 12, 398, 29, 13296
170, 12, 531, 29, 13296
180, 12, 625, 29, 13296
190, 13, 762, 28, 13296
200, 13, 876, 28, 13296
240, 15, 1424, 26, 13296
280, 15, 1938, 26, 13296
320, 15, 2419, 26, 13296
360, 15, 2942, 26, 13296
400, 16, 3485, 25, 13296
440, 17, 4054, 24, 13296
480, 19, 4642, 22, 13296
